,UNIXTime,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
0,1475229326,1.21,48,30.46,59,177.39,5.62,6:13:00,18:13:00
1,1475229023,1.21,48,30.46,58,176.78,3.37,6:13:00,18:13:00
2,1475228726,1.23,48,30.46,57,158.75,3.37,6:13:00,18:13:00
3,1475228421,1.21,48,30.46,60,137.71,3.37,6:13:00,18:13:00
4,1475228124,1.17,48,30.46,62,104.95,5.62,6:13:00,18:13:00
5,1475227824,1.21,48,30.46,64,120.2,5.62,6:13:00,18:13:00
6,1475227519,1.2,49,30.46,72,112.45,6.75,6:13:00,18:13:00
7,1475226922,1.23,49,30.46,80,101.18,4.5,6:13:00,18:13:00
8,1475226622,1.21,49,30.46,85,141.87,4.5,6:13:00,18:13:00
9,1475226323,1.23,49,30.47,93,120.55,2.25,6:13:00,18:13:00
10,1475226025,1.21,49,30.47,98,144.19,3.37,6:13:00,18:13:00
11,1475225720,1.22,49,30.47,99,139.8,6.75,6:13:00,18:13:00
12,1475225419,1.21,50,30.47,99,140.92,2.25,6:13:00,18:13:00
13,1475225131,1.23,50,30.47,99,147.61,5.62,6:13:00,18:13:00
14,1475224823,1.22,50,30.47,99,113.78,4.5,6:13:00,18:13:00
15,1475224519,1.21,50,30.47,99,123.03,10.12,6:13:00,18:13:00
16,1475224222,1.22,50,30.47,99,173.73,6.75,6:13:00,18:13:00
17,1475223919,1.22,50,30.47,98,91.43,6.75,6:13:00,18:13:00
18,1475223622,1.2,50,30.47,98,109.74,6.75,6:13:00,18:13:00
19,1475223322,1.2,50,30.47,98,143.53,2.25,6:13:00,18:13:00
20,1475222720,1.21,50,30.47,97,158.35,4.5,6:13:00,18:13:00
21,1475222426,1.22,50,30.47,97,166.05,5.62,6:13:00,18:13:00
22,1475222120,1.22,50,30.47,96,151.82,5.62,6:13:00,18:13:00
23,1475221832,1.22,50,30.47,96,152.52,6.75,6:13:00,18:13:00
24,1475221528,1.24,50,30.47,95,127.82,7.87,6:13:00,18:13:00
25,1475221220,1.23,50,30.47,95,157.58,6.75,6:13:00,18:13:00
26,1475220921,1.23,50,30.47,95,172.96,7.87,6:13:00,18:13:00
27,1475220621,1.23,50,30.47,95,143.82,6.75,6:13:00,18:13:00
28,1475220322,1.24,50,30.47,94,154.03,5.62,6:13:00,18:13:00
29,1475220021,1.2,50,30.47,93,165.93,4.5,6:13:00,18:13:00
30,1475219723,1.24,50,30.47,93,139.82,7.87,6:13:00,18:13:00
31,1475219420,1.21,49,30.47,93,166.07,9.0,6:13:00,18:13:00
32,1475219126,1.24,50,30.47,93,116.16,5.62,6:13:00,18:13:00
33,1475218820,1.2,50,30.47,92,157.48,4.5,6:13:00,18:13:00
34,1475218518,1.19,50,30.47,91,112.27,7.87,6:13:00,18:13:00
35,1475218220,1.25,50,30.47,90,133.69,6.75,6:13:00,18:13:00
36,1475217924,1.25,50,30.47,88,140.64,6.75,6:13:00,18:13:00
37,1475217619,1.23,50,30.47,87,52.89,1.12,6:13:00,18:13:00
38,1475217319,1.21,50,30.47,86,132.66,4.5,6:13:00,18:13:00
39,1475217018,1.25,50,30.46,85,138.35,5.62,6:13:00,18:13:00
40,1475216720,1.23,50,30.46,84,109.87,3.37,6:13:00,18:13:00
41,1475216423,1.23,50,30.47,81,123.25,3.37,6:13:00,18:13:00
42,1475216120,1.26,50,30.46,75,158.64,4.5,6:13:00,18:13:00
43,1475215822,1.17,50,30.46,70,165.22,5.62,6:13:00,18:13:00
44,1475215522,1.22,50,30.46,63,160.51,3.37,6:13:00,18:13:00
45,1475215218,1.22,50,30.46,51,155.36,4.5,6:13:00,18:13:00
46,1475214923,1.22,50,30.46,47,157.78,6.75,6:13:00,18:13:00
47,1475214622,1.24,50,30.46,46,151.6,3.37,6:13:00,18:13:00
48,1475214325,1.25,50,30.46,47,105.78,4.5,6:13:00,18:13:00
49,1475214022,1.19,50,30.46,48,135.55,4.5,6:13:00,18:13:00
50,1475213722,1.19,50,30.46,56,140.92,4.5,6:13:00,18:13:00
51,1475213420,1.23,50,30.46,57,165.0,4.5,6:13:00,18:13:00
52,1475213121,1.19,51,30.46,55,126.63,3.37,6:13:00,18:13:00
53,1475212820,1.23,51,30.46,54,119.97,4.5,6:13:00,18:13:00
54,1475212522,1.22,51,30.45,53,95.57,2.25,6:13:00,18:13:00
55,1475212224,1.24,51,30.45,51,100.02,4.5,6:13:00,18:13:00
56,1475211920,1.24,51,30.45,51,111.73,2.25,6:13:00,18:13:00
57,1475211624,1.23,51,30.45,52,145.77,5.62,6:13:00,18:13:00
58,1475211319,1.23,51,30.45,51,105.89,6.75,6:13:00,18:13:00
59,1475211024,1.24,51,30.45,52,120.86,5.62,6:13:00,18:13:00
60,1475210719,1.23,51,30.44,55,170.11,5.62,6:13:00,18:13:00
61,1475210421,1.21,52,30.44,55,107.15,5.62,6:13:00,18:13:00
62,1475209823,1.18,52,30.45,59,158.73,3.37,6:13:00,18:13:00
63,1475209519,1.52,52,30.44,59,211.38,2.25,6:13:00,18:13:00
64,1475209223,5.07,53,30.44,61,174.97,4.5,6:13:00,18:13:00
65,1475208921,6.16,53,30.44,62,120.78,7.87,6:13:00,18:13:00
66,1475208652,6.63,53,30.44,59,118.82,5.62,6:13:00,18:13:00
67,1475208322,10.96,54,30.44,59,154.16,4.5,6:13:00,18:13:00
68,1475208022,19.42,55,30.44,57,58.42,6.75,6:13:00,18:13:00
69,1475207722,27.14,55,30.44,53,47.86,4.5,6:13:00,18:13:00
